USD,GoldPrice
121.7,1056.2
121,1084
122,1075
122.95,1065
122.67,1075.9
122.98,1060.2
124.87,1097.9
125.6,1090.7
125.58,1096.3
125.33,1116.4
124.11,1157.7
124.12,1239.4
123.69,1230.8
124.05,1220.4
122.16,1270.7
121.42,1259.4
120,1254.3
121.44,1223.5
119.83,1223.5
119.92,1243.5
119.67,1234.6
119.79,1230
118.32,1290.5
119.94,1294
120.85,1272
121.87,1252.9
121.7,1216.7
120.67,1275.9
121.13,1294.8
121.67,1322.4
121.13,1339
121.87,1358.4
121.77,1327.4
122.47,1331.5
121.32,1357.5
121.78,1344.4
120.53,1343.2
120.23,1346.2
120.65,1325.9
121.51,1326.7
121.47,1334.5
122.67,1310.2
122.14,1314.7
121.69,1317.1
122.64,1251.9
123.16,1255.5
123.36,1267.7
123.58,1276.8
123.12,1304.5
127.38,1208.7
127.86,1181
127.14,1177.8
